// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

/////////////////////////// New//////////////////////
0,124809,100
0,124819,100


/////////////////////////// ยอดนิยม //////////////////////
1,124809,100
1,124819,100
1,671,1
1,12103,150

/////////////////////////// หมวก ตา ปาก//////////////////////
//////////////  หมวก
2,5376,1450
2,5359,1450
2,5137,2000
2,5286,1450
2,5507,1450
2,5388,1450
2,5257,1450
2,5293,1450
2,5372,1450
2,5430,1450
2,5444,1450
2,5497,2000
2,5138,1450
2,5378,1450
2,5503,1450
2,5751,1450
2,18600,1450
2,5254,1450
2,5208,1450
2,5593,1450
2,5464,1450
2,5546,1450
2,5360,1450
2,5569,1450
2,5436,1450
2,5581,1450
2,5211,1450
2,5170,2000
2,5133,1800
2,5632,1100
2,5411,1450
2,5493,1800
2,5667,1450
2,5226,1450
2,5132,2000
2,5312,1800
2,5379,1450
2,5344,1450
2,5065,1000
2,5506,1800
2,5283,1450
2,5431,1450
2,5254,1450
2,5219,1450
2,5405,1800
2,5333,1450
2,5354,1450
2,5395,1450
2,5967,1800

///////////// ตา หู
2,5358,1350
2,5592,1350
2,5325,1350
2,5389,1350
2,5788,1350
2,5786,1350
2,5800,1350
2,5401,1350
2,5135,1350
2,5421,2000
2,5221,1350
2,5664,1350
2,2291,1350
2,5315,1350
2,5104,1350

//2,,1350

/////////////  ปาก

2,5462,1350
2,5412,1350
2,5463,1350
2,5594,1350
2,5775,1350
2,5403,1350
2,5156,1350
2,5377,1800
2,5597,1350
2,5596,1350
2,5362,1600
2,5305,1600
2,5574,1350
2,5361,1350
2,5004,1350
2,5204,1350
2,5314,1600
2,5391,1350
2,5548,1600
2,5155,1600
//2,,1350

/////////////////////////// อุปกรณ์  เช่า //////////////////////
3,17162,700
3,17314,150


/////////////////////////// อุปกรณ์ //////////////////////
4,2766,350
4,2767,350
4,2768,350
4,2769,350
4,2770,350
4,2771,350
4,2765,350

/////////////////////////// สนับสนุน //////////////////////
//5,14132,3000
//5,14133,1500
5,14533,50
5,13696,480
5,14592,50
5,13990,480
5,12210,80
5,12902,900
5,7621,40

/////////////////////////// ฟื้นฟู //////////////////////
6,13534,100
6,13810,100
6,12535,200
6,12534,200
6,523,10
6,12016,5
6,13995,50
6,12684,20
6,17118,200
6,12414,20
6,12321,20
6,12320,20
6,12501,30
6,12502,30
6,12503,30
6,12504,30
6,12505,30
6,12506,30

/////////////////////////// อื่นๆ //////////////////////
7,7619,50
7,12920,490
7,7620,50
7,12921,490
7,6635,300
7,7776,300
7,12221,5
7,14175,50
7,12910,30
7,12211,5
7,14211,150




